1.Basin.Name;2.Country;3.Ecoregion;
Amazon;Brazil;Neotropic;
Amur;China;Palearctic;
Barwon;Australia;Australasia;
Burdekin;Australia;Australasia;
Congo;Democratic Republic of the Congo;Afrotropic;
Cooper.creek;Australia;Australasia;
Danube;Hungary;Palearctic;
Fraser;Canada;Nearctic;
Ganges;Nepal;Indo-Malay;
Indigirka;Russia;Palearctic;
Indus;Pakistan;Indo-Malay;
Irrawaddy;Myanmar;Indo-Malay;
Kolyma;Russia;Palearctic;
Lena;Russia;Palearctic;
Loire;France;Palearctic;
Mackenzie;Canada;Nearctic;
Magdalena;Colombia;Neotropic;
Mekong;Laos;Indo-Malay;
Miramichi;Canada;Nearctic;
Mississippi;United States;Nearctic;
Murray.Darling;Australia;Australasia;
Niger;Niger;Afrotropic;
Nile;Sudan;Afrotropic;
Ob;Russia;Palearctic;
Okavango;Botswana;Afrotropic;
Orinoco;Colombia;Neotropic;
Parana;Paraguay;Neotropic;
Thompson;Australia;Australasia;
Volga;Russia;Palearctic;
Yangtse;China;Palearctic;
Yenisey;Russia;Palearctic;
Yukon;United States;Nearctic;
Zambezi;Zambia;Afrotropic;
