"bins"	"occ_x"	"avg"	"obs"	"residuals.obs"	"signif"	"signif_pos"	"tot_occ"	"pc_introduced"	"pc_not_introduced"
"1"	"(0,10]"	5	402.83	207	-13.8697424757276	"*"	-10	10100	0.0204950495049505	0.979504950495049
"2"	"(10,20]"	15	28.82	81	5.3115567010952	"*"	-10	697	0.116212338593974	0.883787661406026
"3"	"(20,30]"	25	7.97	45	5.24349275058163	"*"	-10	219	0.205479452054795	0.794520547945206
"4"	"(30,40]"	35	4.17	20	3.26373022726022	"*"	-10	95	0.210526315789474	0.789473684210526
"5"	"(40,50]"	45	2.29	22	4.05390981074024	"*"	-10	60	0.366666666666667	0.633333333333333
"6"	"(50,60]"	55	1.7	13	2.97147391169514	"*"	-10	37	0.351351351351351	0.648648648648649
"7"	"(60,70]"	65	1.27	15	3.4348813693595	"*"	-10	31	0.483870967741935	0.516129032258065
"8"	"(70,80]"	75	0.96	11	2.92249479856484	"*"	-10	18	0.611111111111111	0.388888888888889
"9"	"(80,90]"	85	0.42	4	1.70700131734414	NA	-10	8	0.5	0.5
"10"	"(90,100]"	95	0.41	3	1.4052105918225	NA	-10	10	0.3	0.7
"11"	"(100,110]"	105	0.26	2	1.15887708419035	NA	-10	7	0.285714285714286	0.714285714285714
"12"	"(110,120]"	115	0.53	4	1.63443943953142	NA	-10	13	0.307692307692308	0.692307692307692
"13"	"(120,130]"	125	0.18	4	1.87274820538576	NA	-10	6	0.666666666666667	0.333333333333333
"14"	"(130,140]"	135	0.13	1	0.818938021218436	NA	-10	3	0.333333333333333	0.666666666666667
"15"	"(140,150]"	145	0.23	3	1.54402400287224	NA	-10	6	0.5	0.5
"16"	"(150,160]"	155	0.03	1	0.956313154047693	NA	-10	1	1	0
"17"	"(160,170]"	165	0.07	1	0.899596310321257	NA	-10	2	0.5	0.5
"18"	"(170,180]"	175	0.14	3	1.61679553677661	NA	-10	3	1	0
"19"	"(180,190]"	185	0.11	1	0.845268571886551	NA	-10	3	0.333333333333333	0.666666666666667
"20"	"(190,200]"	195	0.07	2	1.34297780425546	NA	-10	2	1	0
"21"	"(200,210]"	205	0.09	2	1.32270113895744	NA	-10	2	1	0
"22"	"(210,220]"	215	0.18	4	1.87274820538576	NA	-10	4	1	0
"27"	"(260,270]"	265	0.05	1	0.927642766474203	NA	-10	1	1	0
"28"	"(270,280]"	275	0.02	1	0.970891274228679	NA	-10	1	1	0
"30"	"(290,300]"	295	0.05	1	0.927642766474203	NA	-10	1	1	0
"35"	"(340,350]"	345	0.02	1	0.970891274228679	NA	-10	1	1	0
