"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"native.clusterSino-Oriental (1.1)"	2.48411545342154	0.0485973497549178	51.1162741579372	0
"native.clusterEthiopian (1.2)"	3.50712705332782	0.0964379017060876	36.3666876952221	1.43176175174972e-289
"native.clusterPalearctic (1.3)"	0.632655375758758	0.0555013112923964	11.3989266384312	4.23305775381234e-30
"native.clusterAustralian (1.4)"	2.62595446791695	0.122047231983381	21.5158871302752	1.10544551857773e-102
"native.clusterNeotropical (2.1)"	3.16435723923942	0.073944661089413	42.7935863471349	0
"native.clusterNearctic (2.2)"	3.12594047353183	0.0936984161504409	33.3617215953027	4.92552956220145e-244
"datasetAnthropocene"	-1.60407213076467	0.0348104432198079	-46.080198423096	0
"native.clusterEthiopian (1.2):datasetAnthropocene"	0.375602935595926	0.0863794296351092	4.34829145298339	1.37202197028157e-05
"native.clusterPalearctic (1.3):datasetAnthropocene"	0.203135993282764	0.0553506254146046	3.66998551075387	0.000242564217311519
"native.clusterAustralian (1.4):datasetAnthropocene"	0.209312689453411	0.12887554176343	1.62414595189547	0.104344662755472
"native.clusterNeotropical (2.1):datasetAnthropocene"	0.0176674906447592	0.0678791705889579	0.260278528618811	0.794648933666191
"native.clusterNearctic (2.2):datasetAnthropocene"	-0.529753160606799	0.0803578863108699	-6.59242278421079	4.32706249959344e-11
